rank,category_name,name,moneydj_id,twelve_data_symbol,benchmark,return_1y,benchmark_return_1y,excess_return_1y,momentum_6m,sharpe,max_drawdown,recovery_days,score,signal,quantum_coverage,quantum_exposure,quantum_holdings,holdings_as_of,optical_coverage,optical_exposure,optical_holdings,optical_as_of,memory_coverage,memory_exposure,memory_holdings,memory_as_of,robotics_coverage,robotics_exposure,robotics_holdings,robotics_as_of,status
1,全市場精選 Top 5,👑 ✨ 施羅德台灣樂活中小基金-TISA類型 ✨,,,EWT,216.67,-33.20,249.87,90.32,0.910,,,5.751,買進,,,,,,,,,,,,,,,,,來源分類：台灣；已驗證（活動績效表 2026-08-11；回撤/恢復期資料不足）
2,全市場精選 Top 5,元大多多基金,,,EWT,209.69,-33.20,242.89,73.97,2.140,,,5.693,買進,,,,,,,,,,,,,,,,,來源分類：台灣；已驗證（活動績效表 2026-08-11；回撤/恢復期資料不足）
3,全市場精選 Top 5,統一中小基金,,,EWT,201.12,-33.20,234.32,88.06,2.000,,,5.635,買進,,,,,,,,,,,,,,,,,來源分類：台灣；已驗證（活動績效表 2026-08-11；回撤/恢復期資料不足）
4,全市場精選 Top 5,安聯台灣科技基金,,,EWT,200.68,-33.20,233.88,63.33,2.030,,,5.385,買進,,,,,,,,,,,,,,,,,來源分類：台灣；已驗證（活動績效表 2026-08-11；回撤/恢復期資料不足）
5,全市場精選 Top 5,元大高科技基金,,,EWT,195.69,-33.20,228.89,70.91,0.940,,,5.143,買進,,,,,,,,,,,,,,,,,來源分類：台灣；已驗證（活動績效表 2026-08-11；回撤/恢復期資料不足）
1,台灣,施羅德台灣樂活中小基金-TISA類型,,,EWT,216.67,-33.20,249.87,90.32,0.910,,,5.751,買進,,,,,,,,,,,,,,,,,已驗證（活動績效表 2026-08-11；回撤/恢復期資料不足）
2,台灣,元大多多基金,,,EWT,209.69,-33.20,242.89,73.97,2.140,,,5.693,買進,,,,,,,,,,,,,,,,,已驗證（活動績效表 2026-08-11；回撤/恢復期資料不足）
3,台灣,統一中小基金,,,EWT,201.12,-33.20,234.32,88.06,2.000,,,5.635,買進,,,,,,,,,,,,,,,,,已驗證（活動績效表 2026-08-11；回撤/恢復期資料不足）
4,台灣,安聯台灣科技基金,,,EWT,200.68,-33.20,233.88,63.33,2.030,,,5.385,買進,,,,,,,,,,,,,,,,,已驗證（活動績效表 2026-08-11；回撤/恢復期資料不足）
5,台灣,野村鴻運基金,,,EWT,190.45,-33.20,223.65,66.36,2.020,,,5.209,買進,,,,,,,,,,,,,,,,,已驗證（活動績效表 2026-08-11；回撤/恢復期資料不足）
6,台灣,元大經貿基金,,,EWT,186.31,-33.20,219.51,74.19,2.020,,,5.204,買進,,,,,,,,,,,,,,,,,已驗證（活動績效表 2026-08-11；回撤/恢復期資料不足）
7,台灣,元大高科技基金,,,EWT,195.69,-33.20,228.89,70.91,0.940,,,5.143,買進,,,,,,,,,,,,,,,,,已驗證（活動績效表 2026-08-11；回撤/恢復期資料不足）
8,台灣,街口中小型基金,,,EWT,193.07,-33.20,226.27,50.58,2.110,,,5.121,買進,,,,,,,,,,,,,,,,,已驗證（活動績效表 2026-08-11；回撤/恢復期資料不足）
9,台灣,統一龍馬基金,,,EWT,184.99,-33.20,218.19,84.69,0.990,,,5.077,買進,,,,,,,,,,,,,,,,,已驗證（活動績效表 2026-08-11；回撤/恢復期資料不足）
10,台灣,野村台灣運籌基金,,,EWT,189.50,-33.20,222.70,65.93,0.990,,,4.979,買進,,,,,,,,,,,,,,,,,已驗證（活動績效表 2026-08-11；回撤/恢復期資料不足）
1,日本,瀚亞投資-日本動力股票基金Az(南非幣避險),F00000W0VS:FO,,EWJ,77.93,29.10,48.83,33.83,3.023,-38.77,209,2.017,買進,,,,,,,,,,,,,,,,,已更新（Yahoo台灣下載 + 活動績效表 Benchmark）
2,日本,安本基金-日本永續股票基金X累積美元避險,,,EWJ,52.10,29.10,23.00,15.03,1.050,,,1.111,買進,,,,,,,,,,,,,,,,,已驗證（活動績效表 2026-08-11；回撤/恢復期資料不足）
3,日本,駿利亨德森遠見基金-日本小型公司基金I2美元避險,,,EWJ,48.34,29.10,19.24,17.39,1.140,,,1.078,買進,,,,,,,,,,,,,,,,,已驗證（活動績效表 2026-08-11；回撤/恢復期資料不足）
4,日本,法巴日本股票基金H(美元),,,EWJ,50.13,29.10,21.03,12.37,1.050,,,1.045,買進,,,,,,,,,,,,,,,,,已驗證（活動績效表 2026-08-10；回撤/恢復期資料不足）
5,日本,法巴日本小型股票基金H(美元),,,EWJ,49.56,29.10,20.46,13.34,1.040,,,1.042,買進,,,,,,,,,,,,,,,,,已驗證（活動績效表 2026-08-10；回撤/恢復期資料不足）
6,日本,安聯日本股票基金-AT累積類股(美元避險),,,EWJ,47.25,29.10,18.15,14.75,1.020,,,1.005,買進,,,,,,,,,,,,,,,,,已驗證（活動績效表 2026-08-10；回撤/恢復期資料不足）
7,日本,景順日本股票優勢基金C(美元對沖)股美元,,,EWJ,42.53,29.10,13.43,15.44,1.080,,,0.930,買進,,,,,,,,,,,,,,,,,已驗證（活動績效表 2026-08-11；回撤/恢復期資料不足）
8,日本,施羅德環球基金系列-日本優勢(美元避險)A-累積,,,EWJ,44.46,29.10,15.36,11.48,0.940,,,0.901,買進,,,,,,,,,,,,,,,,,已驗證（活動績效表 2026-08-10；回撤/恢復期資料不足）
9,日本,利安資金日本增長基金A美元避險級別,,,EWJ,40.51,29.10,11.41,12.42,1.230,,,0.889,買進,,,,,,,,,,,,,,,,,已驗證（活動績效表 2026-08-07；回撤/恢復期資料不足）
10,日本,安盛投資管理股票基金-安盛投資管理日本股票基金B,,,EWJ,40.61,29.10,11.51,13.92,0.820,,,0.824,買進,,,,,,,,,,,,,,,,,已驗證（活動績效表 2026-08-10；回撤/恢復期資料不足）
1,韓國,利安資金韓國基金(美元),,,EWY,133.08,-28.62,161.70,46.67,0.520,,,3.519,買進,,,,,,,,,,,,,,,,,已驗證（活動績效表 2026-08-07；回撤/恢復期資料不足）
2,韓國,摩根南韓基金數位級別(美元)(累計),,,EWY,91.72,-28.62,120.34,19.11,0.570,,,2.426,買進,,,,,,,,,,,,,,,,,已驗證（活動績效表 2026-08-11；回撤/恢復期資料不足）
3,韓國,霸菱韓國基金-A類美元累積型,,,EWY,-31.25,-28.62,-2.63,-8.75,0.600,,,-0.306,賣出,,,,,,,,,,,,,,,,,已驗證（活動績效表 2026-08-11；回撤/恢復期資料不足）
1,香港,施羅德環球基金系列-香港股票(港元)C-累積,,,EWH,7.28,12.33,-5.05,-7.28,0.120,,,-0.027,賣出,,,,,,,,,,,,,,,,,已驗證（活動績效表 2026-08-11；回撤/恢復期資料不足）
2,香港,安聯香港股票基金-A配息類股(美元)(基金之配息來源可能為本金),F000000F7U:FO,,EWH,2.72,12.33,-9.61,-6.02,0.141,-55.63,,-0.379,賣出,,,,,,,,,,,,,,,,,已更新（Yahoo台灣下載 + 活動績效表 Benchmark）
3,香港,宏利環球基金-巨龍增長基金AA股(美元),,,EWH,-29.40,12.33,-41.73,-9.93,0.070,,,-0.797,賣出,,,,,,,,,,,,,,,,,已驗證（活動績效表 2026-08-11；回撤/恢復期資料不足）
4,香港,泓富產業信託0808.HK,,,EWH,-38.16,12.33,-50.49,-27.69,0.040,,,-1.155,賣出,,,,,,,,,,,,,,,,,已驗證（活動績效表 2026-08-11；回撤/恢復期資料不足）
1,中國,景順大中華基金C股美元,,,MCHI,31.50,,,5.32,0.420,,,,待資料,,,,,,,,,,,,,,,,,已驗證（活動績效表 2026-08-11；回撤/恢復期資料不足）
2,中國,利安資金中國增長基金(美元),,,MCHI,30.44,,,11.21,0.310,,,,待資料,,,,,,,,,,,,,,,,,已驗證（活動績效表 2026-08-07；回撤/恢復期資料不足）
3,中國,高盛基金III - 高盛大中華股票基金X股美元,,,MCHI,28.48,,,2.65,0.300,,,,待資料,,,,,,,,,,,,,,,,,已驗證（活動績效表 2026-08-11；回撤/恢復期資料不足）
4,中國,柏瑞環球基金-柏瑞大中華股票基金A,,,MCHI,26.35,,,8.94,0.390,,,,待資料,,,,,,,,,,,,,,,,,已驗證（活動績效表 2026-08-11；回撤/恢復期資料不足）
5,中國,安聯中國股票基金-IT累積類股(美元),,,MCHI,8.12,,,-4.87,0.130,,,,待資料,,,,,,,,,,,,,,,,,已驗證（活動績效表 2026-08-11；回撤/恢復期資料不足）
6,中國,施羅德環球基金系列-中國優勢(美元)A-累積,,,MCHI,5.59,,,-8.86,0.090,,,,待資料,,,,,,,,,,,,,,,,,已驗證（活動績效表 2026-08-11；回撤/恢復期資料不足）
7,中國,瀚亞投資-中國股票基金Azdmc1(南非幣避險穩定月配)(本基金配息來源可能為本金),,,MCHI,5.06,,,-7.21,0.080,,,,待資料,,,,,,,,,,,,,,,,,已驗證（活動績效表 2026-08-11；回撤/恢復期資料不足）
8,中國,貝萊德中國基金A10美元(總報酬穩定配息)(本基金之配息來源可能為本金),,,MCHI,4.45,,,-5.07,0.080,,,,待資料,,,,,,,,,,,,,,,,,已驗證（活動績效表 2026-08-11；回撤/恢復期資料不足）
9,中國,景順中國新世代基金C-年配息股美元,,,MCHI,2.82,,,-10.37,0.050,,,,待資料,,,,,,,,,,,,,,,,,已驗證（活動績效表 2026-08-11；回撤/恢復期資料不足）
10,中國,先機中國基金L類累積股(美元),,,MCHI,2.73,,,-8.68,0.050,,,,待資料,,,,,,,,,,,,,,,,,已驗證（活動績效表 2026-08-11；回撤/恢復期資料不足）
1,美國,美盛銳思美國小型公司機會基金優類股美元累積型,,,SPY,46.32,22.52,23.80,14.78,0.720,,,0.993,買進,,,,,,,,,,,,,,,,,已驗證（活動績效表 2026-08-11；回撤/恢復期資料不足）
2,美國,施羅德環球基金系列-美國中小型股票(歐元)A-累積,,,SPY,36.62,22.52,14.10,10.87,0.820,,,0.780,買進,,,,,,,,,,,,,,,,,已驗證（活動績效表 2026-08-11；回撤/恢復期資料不足）
3,美國,普徠仕(盧森堡)系列基金-普徠仕美國大型價值股票基金Q級別(美元),,,SPY,32.95,22.52,10.43,16.00,0.930,,,0.780,買進,,,,,,,,,,,,,,,,,已驗證（活動績效表 2026-08-11；回撤/恢復期資料不足）
4,美國,聯博-美國價值基金A級別美元,,,SPY,35.04,22.52,12.52,11.16,0.790,,,0.745,買進,,,,,,,,,,,,,,,,,已驗證（活動績效表 2026-08-11；回撤/恢復期資料不足）
5,美國,美盛銳思美國小型公司基金A類股歐元累積型,,,SPY,37.56,22.52,15.04,9.61,0.590,,,0.740,買進,,,,,,,,,,,,,,,,,已驗證（活動績效表 2026-08-11；回撤/恢復期資料不足）
6,美國,先機北美股票基金L類累積股(歐元),,,SPY,28.43,22.52,5.91,18.25,0.870,,,0.700,買進,,,,,,,,,,,,,,,,,已驗證（活動績效表 2026-08-11；回撤/恢復期資料不足）
7,美國,瑞銀(盧森堡)美國總收益股票基金(美元)(月配息)(本基金之配息來源可能為本金),,,SPY,30.52,22.52,8.00,15.91,0.690,,,0.682,買進,,,,,,,,,,,,,,,,,已驗證（活動績效表 2026-08-10；回撤/恢復期資料不足）
8,美國,駿利亨德森資產管理基金-駿利亨德森美國創業基金I2美元,,,SPY,28.76,22.52,6.24,15.69,0.600,,,0.627,買進,,,,,,,,,,,,,,,,,已驗證（活動績效表 2026-08-11；回撤/恢復期資料不足）
9,美國,荷寶資本成長基金-荷寶BP美國卓越股票D美元,,,SPY,28.53,22.52,6.01,13.59,0.710,,,0.623,買進,,,,,,,,,,,,,,,,,已驗證（活動績效表 2026-08-10；回撤/恢復期資料不足）
10,美國,法巴美國小型股票基金C(美元),,,SPY,30.12,22.52,7.60,10.69,0.550,,,0.594,買進,,,,,,,,,,,,,,,,,已驗證（活動績效表 2026-08-11；回撤/恢復期資料不足）
1,印度,台新印度基金,,,INDA,25.84,,,16.67,0.460,,,,待資料,,,,,,,,,,,,,,,,,已驗證（活動績效表 2026-08-10；回撤/恢復期資料不足）
2,印度,瀚亞印度基金S配息(台幣)(本基金配息來源可能為本金),,,INDA,18.57,,,11.59,0.390,,,,待資料,,,,,,,,,,,,,,,,,已驗證（活動績效表 2026-08-10；回撤/恢復期資料不足）
3,印度,群益大印度基金N類型(台幣),,,INDA,11.88,,,2.76,0.320,,,,待資料,,,,,,,,,,,,,,,,,已驗證（活動績效表 2026-08-10；回撤/恢復期資料不足）
4,印度,群益印度中小基金N類型(台幣),,,INDA,7.29,,,0.44,0.180,,,,待資料,,,,,,,,,,,,,,,,,已驗證（活動績效表 2026-08-10；回撤/恢復期資料不足）
5,印度,野村印度潛力基金,,,INDA,3.36,,,-2.62,0.070,,,,待資料,,,,,,,,,,,,,,,,,已驗證（活動績效表 2026-08-10；回撤/恢復期資料不足）
6,印度,元大印度基金,,,INDA,0.00,,,-7.91,-0.010,,,,待資料,,,,,,,,,,,,,,,,,已驗證（活動績效表 2026-08-10；回撤/恢復期資料不足）
7,印度,瀚亞印度策略收益平衡基金S配息(台幣)(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),,,INDA,-2.11,,,-3.34,-0.120,,,,待資料,,,,,,,,,,,,,,,,,已驗證（活動績效表 2026-08-10；回撤/恢復期資料不足）
1,東協,統一大東協高股息基金(台幣)(本基金並無保證收益及配息),,,ASEA,66.39,,,18.18,0.870,,,,待資料,,,,,,,,,,,,,,,,,已驗證（活動績效表 2026-08-10；回撤/恢復期資料不足）
2,東協,野村泰國基金,,,ASEA,40.31,,,10.63,0.740,,,,待資料,,,,,,,,,,,,,,,,,已驗證（活動績效表 2026-08-10；回撤/恢復期資料不足）
3,東協,復華東協世紀基金,,,ASEA,38.34,,,16.94,0.920,,,,待資料,,,,,,,,,,,,,,,,,已驗證（活動績效表 2026-08-07；回撤/恢復期資料不足）
4,東協,安聯中國東協基金,,,ASEA,28.04,,,7.57,0.740,,,,待資料,,,,,,,,,,,,,,,,,已驗證（活動績效表 2026-08-10；回撤/恢復期資料不足）
5,東協,元大新東協平衡基金(台幣)(本基金有相當比重投資於非投資等級之高風險債券),,,ASEA,27.00,,,8.86,0.810,,,,待資料,,,,,,,,,,,,,,,,,已驗證（活動績效表 2026-08-07；回撤/恢復期資料不足）
6,東協,群益東協成長基金(台幣),,,ASEA,26.07,,,6.82,0.670,,,,待資料,,,,,,,,,,,,,,,,,已驗證（活動績效表 2026-08-10；回撤/恢復期資料不足）
7,東協,富邦越南機會基金(台幣),,,ASEA,2.67,,,-3.42,0.050,,,,待資料,,,,,,,,,,,,,,,,,已驗證（活動績效表 2026-08-10；回撤/恢復期資料不足）
8,東協,中國信託越南機會基金-N類型(台幣),,,ASEA,-6.89,,,-3.57,-0.080,,,,待資料,,,,,,,,,,,,,,,,,已驗證（活動績效表 2026-08-10；回撤/恢復期資料不足）
1,歐洲,富邦富時歐洲ETF基金,,,VGK,31.52,,,6.89,0.810,,,,待資料,,,,,,,,,,,,,,,,,已驗證（活動績效表 2026-08-10；回撤/恢復期資料不足）
2,歐洲,摩根大歐洲基金-數位型,,,VGK,28.37,,,6.43,0.830,,,,待資料,,,,,,,,,,,,,,,,,已驗證（活動績效表 2026-08-11；回撤/恢復期資料不足）
3,歐洲,元大歐洲50基金,,,VGK,24.79,,,9.52,0.720,,,,待資料,,,,,,,,,,,,,,,,,已驗證（活動績效表 2026-08-11；回撤/恢復期資料不足）
4,歐洲,聯博歐洲多重資產基金A2不配息(台幣)(本基金得投資於非投資等級之高風險債券且配息來源可能為本金及收益平準金),,,VGK,18.51,,,3.11,0.580,,,,待資料,,,,,,,,,,,,,,,,,已驗證（活動績效表 2026-08-11；回撤/恢復期資料不足）
5,歐洲,瀚亞歐洲基金,,,VGK,15.76,,,3.24,0.390,,,,待資料,,,,,,,,,,,,,,,,,已驗證（活動績效表 2026-08-10；回撤/恢復期資料不足）
1,巴西,元大巴西指數基金,,,EWZ,39.36,,,-6.10,0.380,,,,待資料,,,,,,,,,,,,,,,,,已驗證（活動績效表 2026-08-10；回撤/恢復期資料不足）
2,巴西,野村巴西基金,,,EWZ,37.66,,,-6.72,0.350,,,,待資料,,,,,,,,,,,,,,,,,已驗證（活動績效表 2026-08-10；回撤/恢復期資料不足）
3,巴西,瀚亞巴西基金,,,EWZ,30.81,,,-9.31,0.320,,,,待資料,,,,,,,,,,,,,,,,,已驗證（活動績效表 2026-08-10；回撤/恢復期資料不足）
1,債券型,施羅德環球基金系列-亞洲可轉換債券(美元)A-累積(基金主要係投資於非投資等級之高風險債券),,,AGG,31.63,,,8.86,0.540,,,,待資料,,,,,,,,,,,,,,,,,已驗證（活動績效表 2026-08-11；回撤/恢復期資料不足）
2,債券型,合庫新興多重收益基金-A不配息(南非幣)(本基金之子基金得投資於非投資等級之高風險債券),,,AGG,29.44,,,1.16,0.770,,,,待資料,,,,,,,,,,,,,,,,,已驗證（活動績效表 2026-08-10；回撤/恢復期資料不足）
3,債券型,富蘭克林華美目標2027組合基金-R類型(台幣),,,AGG,26.99,,,12.65,0.900,,,,待資料,,,,,,,,,,,,,,,,,已驗證（活動績效表 2026-08-11；回撤/恢復期資料不足）
4,債券型,復華南非幣長期收益基金A不配息(本基金有一定比重得投資於非投資等級之高風險債券),,,AGG,22.70,,,1.60,0.510,,,,待資料,,,,,,,,,,,,,,,,,已驗證（活動績效表 2026-08-07；回撤/恢復期資料不足）
5,債券型,宏利全球非投資等級債券基金-A不配息(南非幣避險)(本基金主要投資於非投資等級之高風險債券),,,AGG,21.48,,,4.00,0.240,,,,待資料,,,,,,,,,,,,,,,,,已驗證（活動績效表 2026-08-10；回撤/恢復期資料不足）
6,債券型,東方匯理新興市場非投資等級債券基金-AD月配型(台幣)(本基金之配息來源可能為本金),,,AGG,19.05,,,3.54,2.080,,,,待資料,,,,,,,,,,,,,,,,,已驗證（活動績效表 2026-08-10；回撤/恢復期資料不足）
7,債券型,安聯新興債券收益組合基金-B月配型(台幣)(本基金有一定比例之投資包含高風險非投資等級債券基金且配息來源可能為本金),,,AGG,18.90,,,3.42,2.050,,,,待資料,,,,,,,,,,,,,,,,,已驗證（活動績效表 2026-08-10；回撤/恢復期資料不足）
8,債券型,柏瑞新興邊境非投資等級債券基金B月配息(台幣)(本基金之配息來源可能為本金),,,AGG,18.35,,,3.75,2.040,,,,待資料,,,,,,,,,,,,,,,,,已驗證（活動績效表 2026-08-10；回撤/恢復期資料不足）
